question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
List the names of the people who wrote movies released after 2000.,movies,"<explanation>
This query starts by finding all movies released after 2000. Then, it matches people who have a WROTE relationship with those movies. Finally, it returns the names of those people.

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.released > 2000**: This line filters the found Movie nodes, keeping only those where the ""released"" property is greater than 2000.
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered Movie nodes. 
4. **RETURN DISTINCT p.name**: This line returns the ""name"" property of the ""Person"" nodes found in the previous step. The DISTINCT keyword ensures that each name is only returned once.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2000
MATCH (p:Person)-[:WROTE]->(m)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)
WHERE m.released > 2000
MATCH (p:Person)-[:WROTE]->(m)
RETURN DISTINCT p.name","This query starts by finding all movies released after 2000. Then, it matches people who have a WROTE relationship with those movies. Finally, it returns the names of those people.

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.released > 2000**: This line filters the found Movie nodes, keeping only those where the ""released"" property is greater than 2000.
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered Movie nodes. 
4. **RETURN DISTINCT p.name**: This line returns the ""name"" property of the ""Person"" nodes found in the previous step. The DISTINCT keyword ensures that each name is only returned once.",False,False,True,False
Which movies were produced by Joel Silver and released before 2010?,movies,"<explanation>
This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationship to find all movies produced by him. Finally, it filters these movies to only include those released before 2010. 
</explanation>
```cypher
MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WHERE m.released < 2010
RETURN m.title AS movieTitle
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WHERE m.released < 2010
RETURN m.title AS movieTitle","This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationship to find all movies produced by him. Finally, it filters these movies to only include those released before 2010.",False,False,True,False
Find the top 3 movies with the lowest number of votes.,movies,"<explanation>
1. **Find all movies:** Start by matching all nodes with the label ""Movie"" using `MATCH (m:Movie)`.
2. **Order by vote count:** Order the movies in ascending order based on their `votes` property using `ORDER BY m.votes ASC`.
3. **Limit to top 3:** Limit the result set to the top 3 movies using `LIMIT 3`.
4. **Return movie titles:** Return the `title` property of the selected movies using `RETURN m.title`.
</explanation>
```cypher
MATCH (m:Movie)
ORDER BY m.votes ASC
LIMIT 3
RETURN m.title
```",Simple Aggregation Queries,"MATCH (m:Movie)
ORDER BY m.votes ASC
LIMIT 3
RETURN m.title","1. **Find all movies:** Start by matching all nodes with the label ""Movie"" using `MATCH (m:Movie)`.
2. **Order by vote count:** Order the movies in ascending order based on their `votes` property using `ORDER BY m.votes ASC`.
3. **Limit to top 3:** Limit the result set to the top 3 movies using `LIMIT 3`.
4. **Return movie titles:** Return the `title` property of the selected movies using `RETURN m.title`.",False,False,True,False
What are the taglines of movies directed by Nancy Meyers?,movies,"<explanation>
1. **MATCH** the person named ""Nancy Meyers""
2. **MATCH** movies directed by the person found in the previous step.
3. **RETURN** the taglines of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline","1. **MATCH** the person named ""Nancy Meyers""
2. **MATCH** movies directed by the person found in the previous step.
3. **RETURN** the taglines of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```",False,False,True,False
"Who directed ""The Matrix Revolutions""?",movies,"<explanation>
This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the `DIRECTED` relationship from that movie to the `Person` who directed it and returns the `name` of that person.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:DIRECTED]-(p:Person)
RETURN p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:DIRECTED]-(p:Person)
RETURN p.name","This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the `DIRECTED` relationship from that movie to the `Person` who directed it and returns the `name` of that person.",False,False,True,False
List the roles played by Laurence Fishburne in movies released in 2003.,movies,"<explanation>
1. **Find the person named ""Laurence Fishburne"":** We start by matching a `Person` node with the name ""Laurence Fishburne.""
2. **Match movies released in 2003:** Then, we traverse the `ACTED_IN` relationship to find `Movie` nodes where the `released` property is 2003.
3. **Return the roles:** Finally, we return the `roles` property from the `ACTED_IN` relationship.

This query effectively filters for movies released in 2003 and then returns the roles played by Laurence Fishburne in those specific films.
</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie {released: 2003})
RETURN m.title, m.released, p.name, collect(m.title) AS movie_titles
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie {released: 2003})
RETURN m.title, m.released, p.name, collect(m.title) AS movie_titles","1. **Find the person named ""Laurence Fishburne"":** We start by matching a `Person` node with the name ""Laurence Fishburne.""
2. **Match movies released in 2003:** Then, we traverse the `ACTED_IN` relationship to find `Movie` nodes where the `released` property is 2003.
3. **Return the roles:** Finally, we return the `roles` property from the `ACTED_IN` relationship.

This query effectively filters for movies released in 2003 and then returns the roles played by Laurence Fishburne in those specific films.",False,False,True,False
Find the release years of the 3 movies with the fewest votes.,movies,"<explanation>
This query first matches all Movie nodes. Then it orders them by the number of votes in ascending order and limits the result to the top 3 movies. Finally, it returns the release year of these movies.

1. **MATCH (m:Movie)** - This line matches all nodes with the label 'Movie'.
2. **WITH m ORDER BY m.votes ASC LIMIT 3** - This line orders the matched movies by the 'votes' property in ascending order and limits the result to the top 3 movies with the fewest votes.
3. **RETURN m.released** - This line returns the release year of each of the 3 movies. 
<explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes ASC LIMIT 3
RETURN m.released
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes ASC LIMIT 3
RETURN m.released",,False,False,True,False
"Who are the people who produced ""Speed Racer""?",movies,"<explanation>
This query starts with finding the movie titled ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the persons who produced the movie. Finally, it returns the names of those persons.
</explanation>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name","This query starts with finding the movie titled ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the persons who produced the movie. Finally, it returns the names of those persons.",False,False,True,False
What is the average number of votes for movies released in 2003?,movies,"<explanation>
1. We start by matching all movies with a `released` property value of 2003.
2. We then use `WITH` clause with aggregation function `avg` to calculate the average vote count. 
3. Finally, we return the average vote count.

```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```
</explanation>
```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```",Simple Aggregation Queries,"MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes","1. We start by matching all movies with a `released` property value of 2003.
2. We then use `WITH` clause with aggregation function `avg` to calculate the average vote count. 
3. Finally, we return the average vote count.

```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```",False,False,True,False
List the names of the people born before 1960 who directed a movie.,movies,"<explanation>
1. **MATCH** the nodes with label `Person` and `Movie` that have a relationship of type `DIRECTED`. 
2. **WHERE** clause filters these results to only include people who were born before 1960.
3. **RETURN** the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name","1. **MATCH** the nodes with label `Person` and `Movie` that have a relationship of type `DIRECTED`. 
2. **WHERE** clause filters these results to only include people who were born before 1960.
3. **RETURN** the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```",False,False,True,False
Which movies were written by people born after 1950?,movies,"<explanation>
1. **Find the writers:** Start by finding all people who have a `WROTE` relationship with a movie.
2. **Filter by birth year:** Filter these people to only include those born after 1950.
3. **Return the movies:** Return the titles of the movies that these writers wrote.
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1950
RETURN m.title
```",Simple Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1950
RETURN m.title","1. **Find the writers:** Start by finding all people who have a `WROTE` relationship with a movie.
2. **Filter by birth year:** Filter these people to only include those born after 1950.
3. **Return the movies:** Return the titles of the movies that these writers wrote.",False,False,True,False
What are the titles and taglines of the 3 movies with the highest number of votes?,movies,"<explanation>
This query starts with all Movie nodes and orders them in descending order of vote count. Then, it limits the results to the top 3 and returns their titles and taglines.

1. **MATCH (m:Movie)**: This line matches all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WITH m ORDER BY m.votes DESC LIMIT 3**: This line orders the matched movies by their `votes` property in descending order and limits the results to the top 3.
3. **RETURN m.title, m.tagline**: Finally, we return the `title` and `tagline` properties of the top 3 most voted movies.
</explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
RETURN m.title, m.tagline
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
RETURN m.title, m.tagline","This query starts with all Movie nodes and orders them in descending order of vote count. Then, it limits the results to the top 3 and returns their titles and taglines.

1. **MATCH (m:Movie)**: This line matches all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WITH m ORDER BY m.votes DESC LIMIT 3**: This line orders the matched movies by their `votes` property in descending order and limits the results to the top 3.
3. **RETURN m.title, m.tagline**: Finally, we return the `title` and `tagline` properties of the top 3 most voted movies.",False,False,True,False
Find the names of the people who acted in movies with more than 1000 votes.,movies,"<explanation>
This Cypher query first finds all movies with more than 1000 votes. Then, it matches people who ACTED_IN those movies and returns their names.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name","This Cypher query first finds all movies with more than 1000 votes. Then, it matches people who ACTED_IN those movies and returns their names.",False,False,True,False
What is the earliest release year of a movie directed by Nancy Meyers?,movies,"<explanation>
1. **Find the person named ""Nancy Meyers"".**  We'll start by matching the `Person` node with the name 'Nancy Meyers'.
2. **Traverse outgoing DIRECTED relationships.** We'll traverse the `DIRECTED` relationships from the 'Nancy Meyers' node to the `Movie` nodes.
3. **Find the earliest release year.** We'll use the `min()` function on the `released` property of the `Movie` nodes to get the earliest release year.
4. **Return the earliest year.**
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN min(m.released)
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN min(m.released)","1. **Find the person named ""Nancy Meyers"".**  We'll start by matching the `Person` node with the name 'Nancy Meyers'.
2. **Traverse outgoing DIRECTED relationships.** We'll traverse the `DIRECTED` relationships from the 'Nancy Meyers' node to the `Movie` nodes.
3. **Find the earliest release year.** We'll use the `min()` function on the `released` property of the `Movie` nodes to get the earliest release year.
4. **Return the earliest year.**",False,False,True,False
Find the birth years of the 3 people who acted in the movies with the most votes.,movies,"<explanation>
1. **Find movies with the most votes:** Match all Movie nodes, order them by the number of votes in descending order, and take the top 3 using `LIMIT 3`.
2. **Find actors who acted in those movies:** Traverse the `ACTED_IN` relationship from those movies to the Person nodes representing the actors.
3. **Return the birth year of each actor:** Extract the `born` property from each Person node.

```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```
</explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born","1. **Find movies with the most votes:** Match all Movie nodes, order them by the number of votes in descending order, and take the top 3 using `LIMIT 3`.
2. **Find actors who acted in those movies:** Traverse the `ACTED_IN` relationship from those movies to the Person nodes representing the actors.
3. **Return the birth year of each actor:** Extract the `born` property from each Person node.

```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```",False,False,True,False
"Who produced movies released in the same year as ""The Matrix Revolutions""?",movies,"<explanation>
1. We need to find the release year of the movie ""The Matrix Revolutions"".
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who produced those movies.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name","1. We need to find the release year of the movie ""The Matrix Revolutions"".
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who produced those movies.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```",False,False,True,False
What is the average rating of reviews for movies released after 2000?,movies,"<explanation>
1. **Match movies released after 2000**: We start by matching all movies (`Movie` nodes) where the `released` property is greater than 2000.
2. **Match reviews**: Then, we match all `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate average rating**: Finally, we use the `avg()` function to calculate the average rating of all the matched reviews. 

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)","1. **Match movies released after 2000**: We start by matching all movies (`Movie` nodes) where the `released` property is greater than 2000.
2. **Match reviews**: Then, we match all `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate average rating**: Finally, we use the `avg()` function to calculate the average rating of all the matched reviews. 

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```",False,False,True,False
List the names of the people born after 1960 who wrote a movie.,movies,"<explanation>
This query looks for all people born after 1960 who have a `WROTE` relationship with a `Movie` node. It then returns the names of those people.

1. **MATCH Clause**: We start by matching all `Person` nodes that have an outgoing `WROTE` relationship to a `Movie` node. 
2. **WHERE Clause**: Filter for `Person` nodes where the `born` property is greater than 1960.
3. **RETURN Clause**: We return the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```",Simple Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name","This query looks for all people born after 1960 who have a `WROTE` relationship with a `Movie` node. It then returns the names of those people.

1. **MATCH Clause**: We start by matching all `Person` nodes that have an outgoing `WROTE` relationship to a `Movie` node. 
2. **WHERE Clause**: Filter for `Person` nodes where the `born` property is greater than 1960.
3. **RETURN Clause**: We return the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```",False,False,True,False
Which movies were directed by people born before 1955?,movies,"<explanation>
This query starts by finding all people born before 1955. Then, it traverses the `DIRECTED` relationships from those people to the movies they directed. Finally, it returns the titles of those movies. 
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title","This query starts by finding all people born before 1955. Then, it traverses the `DIRECTED` relationships from those people to the movies they directed. Finally, it returns the titles of those movies.",False,False,True,False
Find the names of the people who acted in movies released before 1990.,movies,"<explanation>
This query starts by finding all movies released before 1990. Then, it traverses the ACTED_IN relationship backward to find the people who acted in those movies. Finally, it returns the names of those people.
</explanation>
```cypher
MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE m.released < 1990
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE m.released < 1990
RETURN DISTINCT p.name","This query starts by finding all movies released before 1990. Then, it traverses the ACTED_IN relationship backward to find the people who acted in those movies. Finally, it returns the names of those people.",False,False,True,False
What is the latest release year of a movie produced by Joel Silver?,movies,"<explanation>
1. We need to find movies that are produced by ""Joel Silver"".
2. Then we need to filter movies by the latest `released` year.

```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```
</explanation>
```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)","1. We need to find movies that are produced by ""Joel Silver"".
2. Then we need to filter movies by the latest `released` year.

```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```",False,False,True,False
List the roles played by Laurence Fishburne in movies with more than 500 votes.,movies,"<explanation>
This query identifies all roles played by Laurence Fishburne in movies with more than 500 votes. 

1. **MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)** - This part finds all movies where a person named ""Laurence Fishburne"" acted in.
2. **WHERE m.votes > 500** - This filters the movies by those that have more than 500 votes.
3. **RETURN ai.roles** - This returns the roles played by Laurence Fishburne in the filtered movies.

</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)
WHERE m.votes > 500
RETURN ai.roles
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)
WHERE m.votes > 500
RETURN ai.roles","This query identifies all roles played by Laurence Fishburne in movies with more than 500 votes. 

1. **MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)** - This part finds all movies where a person named ""Laurence Fishburne"" acted in.
2. **WHERE m.votes > 500** - This filters the movies by those that have more than 500 votes.
3. **RETURN ai.roles** - This returns the roles played by Laurence Fishburne in the filtered movies.",False,False,True,False
What are the summaries of the 3 reviews with the highest ratings?,movies,"<explanation>
This query first matches all reviews and orders them by rating in descending order. Then it limits the results to the top 3 and returns their summaries. 
</explanation>
```cypher
MATCH (:Person)-[r:REVIEWED]->(:Movie)
ORDER BY r.rating DESC
LIMIT 3
RETURN r.summary
```",Simple Aggregation Queries,"MATCH (:Person)-[r:REVIEWED]->(:Movie)
ORDER BY r.rating DESC
LIMIT 3
RETURN r.summary",This query first matches all reviews and orders them by rating in descending order. Then it limits the results to the top 3 and returns their summaries.,False,False,True,False
Find the birth years of the people who directed movies with less than 100 votes.,movies,"<explanation>
1. **Match directors and their movies:** Start by matching `Person` nodes that have a `DIRECTED` relationship with `Movie` nodes.
2. **Filter by vote count:** Filter these pairs, keeping only the ones where the `votes` property on the `Movie` is less than 100.
3. **Return birth years:** Return the `born` property of the `Person` nodes that satisfied the conditions.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born","1. **Match directors and their movies:** Start by matching `Person` nodes that have a `DIRECTED` relationship with `Movie` nodes.
2. **Filter by vote count:** Filter these pairs, keeping only the ones where the `votes` property on the `Movie` is less than 100.
3. **Return birth years:** Return the `born` property of the `Person` nodes that satisfied the conditions.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```",False,False,True,False
"Who wrote movies released in the same year as ""Something's Gotta Give""?",movies,"<explanation>
1. First, we need to find the movie ""Something's Gotta Give"" and get its release year.
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who wrote those movies and return their names.

```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name","1. First, we need to find the movie ""Something's Gotta Give"" and get its release year.
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who wrote those movies and return their names.

```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```",False,False,True,False
What is the average number of votes for movies produced by Joel Silver?,movies,"<explanation>
1. **Find Joel Silver:** Start by matching the `Person` node with `name` set to 'Joel Silver'.
2. **Traverse relationships:** Traverse the `PRODUCED` relationships from the `Person` node to the `Movie` nodes.
3. **Calculate average:** Calculate the average `votes` for all `Movie` nodes found in the previous step using the `avg()` function.
4. **Return average:** Return the average number of votes.
</explanation>
```cypher
MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WITH avg(m.votes) AS average_votes
RETURN average_votes
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WITH avg(m.votes) AS average_votes
RETURN average_votes","1. **Find Joel Silver:** Start by matching the `Person` node with `name` set to 'Joel Silver'.
2. **Traverse relationships:** Traverse the `PRODUCED` relationships from the `Person` node to the `Movie` nodes.
3. **Calculate average:** Calculate the average `votes` for all `Movie` nodes found in the previous step using the `avg()` function.
4. **Return average:** Return the average number of votes.",False,False,True,False
List the names of the 3 oldest people who acted in a movie.,movies,"<explanation>
This query starts by finding all `Person` nodes and orders them in descending order based on their `born` property to get the oldest people first. Then, it limits the result to the top 3 oldest people. Finally, it returns the `name` property of these 3 people.

1. **MATCH (p:Person)** - This line matches all nodes with the label ""Person"".
2. **RETURN p.name** - This line returns the name property of each Person node.
3. **ORDER BY p.born** - This line orders the results in ascending order based on the 'born' property.
4. **LIMIT 3** - This line limits the results to the first three records, effectively selecting the three oldest people. 
</explanation>
```cypher
MATCH (p:Person)
RETURN p.name
ORDER BY p.born
LIMIT 3
```",Simple Aggregation Queries,"MATCH (p:Person)
RETURN p.name
ORDER BY p.born
LIMIT 3","This query starts by finding all `Person` nodes and orders them in descending order based on their `born` property to get the oldest people first. Then, it limits the result to the top 3 oldest people. Finally, it returns the `name` property of these 3 people.

1. **MATCH (p:Person)** - This line matches all nodes with the label ""Person"".
2. **RETURN p.name** - This line returns the name property of each Person node.
3. **ORDER BY p.born** - This line orders the results in ascending order based on the 'born' property.
4. **LIMIT 3** - This line limits the results to the first three records, effectively selecting the three oldest people.",False,False,True,False
What are the titles and taglines of the movies directed by Nancy Meyers?,movies,"<explanation>
This query looks for movies directed by a person named ""Nancy Meyers"" and returns the titles and taglines of those movies.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part of the query searches for all instances of a ""DIRECTED"" relationship between a node with the label ""Person"" (represented by the variable `p`) and a node with the label ""Movie"" (represented by the variable `m`).
2. **WHERE p.name = ""Nancy Meyers""**: This line filters the results from the previous step to only include those where the ""name"" property of the ""Person"" node is equal to ""Nancy Meyers.""
3. **RETURN m.title, m.tagline**: Finally, the query returns the ""title"" and ""tagline"" properties of the movie nodes (`m`) that meet the specified criteria.

In essence, the query first identifies all movies directed by anyone and then narrows down the results to only those directed by ""Nancy Meyers"" before presenting the titles and taglines of those movies.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.name = ""Nancy Meyers""
RETURN m.title, m.tagline
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.name = ""Nancy Meyers""
RETURN m.title, m.tagline","This query looks for movies directed by a person named ""Nancy Meyers"" and returns the titles and taglines of those movies.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part of the query searches for all instances of a ""DIRECTED"" relationship between a node with the label ""Person"" (represented by the variable `p`) and a node with the label ""Movie"" (represented by the variable `m`).
2. **WHERE p.name = ""Nancy Meyers""**: This line filters the results from the previous step to only include those where the ""name"" property of the ""Person"" node is equal to ""Nancy Meyers.""
3. **RETURN m.title, m.tagline**: Finally, the query returns the ""title"" and ""tagline"" properties of the movie nodes (`m`) that meet the specified criteria.

In essence, the query first identifies all movies directed by anyone and then narrows down the results to only those directed by ""Nancy Meyers"" before presenting the titles and taglines of those movies.",False,False,True,False
