question,database,output,type,cypher,explanation
Find the names of the people who directed movies released between 1990 and 2000.,movies,"<explanation>This query starts with a MATCH clause looking for all the (:Person) nodes that are connected to (:Movie) nodes by the relationship type [:DIRECTED]. We then filter these results to only include movies with a released property between 1990 and 2000.  Finally, we return the name of each director.</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.released BETWEEN 1990 AND 2000
RETURN p.name
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.released BETWEEN 1990 AND 2000
RETURN p.name","This query starts with a MATCH clause looking for all the (:Person) nodes that are connected to (:Movie) nodes by the relationship type [:DIRECTED]. We then filter these results to only include movies with a released property between 1990 and 2000.  Finally, we return the name of each director."
List the top 5 movies with the highest ratings reviewed by Keanu Reeves.,movies,"<explanation>
1. **Find Keanu Reeves:** Start by finding the node representing ""Keanu Reeves"" using the `Person` label and the `name` property.
2. **Match Reviewed Movies:** Traverse the `REVIEWED` relationships outgoing from Keanu Reeves' node to find all movies he reviewed.
3. **Order by Rating:** Order the found movies in descending order based on their `rating` property.
4. **Limit to Top 5:**  Limit the results to the top 5 movies.
5. **Return Movie Titles:** Return the `title` property of the top 5 highest-rated movies reviewed by Keanu Reeves.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WITH m, r ORDER BY r.rating DESC
LIMIT 5
RETURN m.title AS movie_title
```
</explanation>
```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WITH m, r ORDER BY r.rating DESC
LIMIT 5
RETURN m.title AS movie_title
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WITH m, r ORDER BY r.rating DESC
LIMIT 5
RETURN m.title AS movie_title","1. **Find Keanu Reeves:** Start by finding the node representing ""Keanu Reeves"" using the `Person` label and the `name` property.
2. **Match Reviewed Movies:** Traverse the `REVIEWED` relationships outgoing from Keanu Reeves' node to find all movies he reviewed.
3. **Order by Rating:** Order the found movies in descending order based on their `rating` property.
4. **Limit to Top 5:**  Limit the results to the top 5 movies.
5. **Return Movie Titles:** Return the `title` property of the top 5 highest-rated movies reviewed by Keanu Reeves.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WITH m, r ORDER BY r.rating DESC
LIMIT 5
RETURN m.title AS movie_title
```"
What are the titles and release years of the first 3 movies acted in by Laurence Fishburne?,movies,"<explanation>
1. We need to find a Person node with the name ""Laurence Fishburne"".
2. Then, we traverse the ACTED_IN relationships outgoing from that Person node to the Movie nodes.
3. We order the movies by the release year in ascending order.
4. We limit the result to the first 3 movies.
5. Finally, we return the title and released properties of the movies.

```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
RETURN m.title, m.released
ORDER BY m.released
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
RETURN m.title, m.released
ORDER BY m.released
LIMIT 3
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
RETURN m.title, m.released
ORDER BY m.released
LIMIT 3","1. We need to find a Person node with the name ""Laurence Fishburne"".
2. Then, we traverse the ACTED_IN relationships outgoing from that Person node to the Movie nodes.
3. We order the movies by the release year in ascending order.
4. We limit the result to the first 3 movies.
5. Finally, we return the title and released properties of the movies.

```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
RETURN m.title, m.released
ORDER BY m.released
LIMIT 3
```"
"Who are the 3 people who acted in ""Something's Gotta Give""?",movies,"<explanation>This query starts by finding the movie with the title ""Something's Gotta Give"", then traverses the ACTED_IN relationships outgoing from that Movie node.  Finally, it returns the name of each related Person node.  The results are limited to the top 3. 
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})<-[:ACTED_IN]-(p:Person)
RETURN p.name
LIMIT 3
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})<-[:ACTED_IN]-(p:Person)
RETURN p.name
LIMIT 3","This query starts by finding the movie with the title ""Something's Gotta Give"", then traverses the ACTED_IN relationships outgoing from that Movie node.  Finally, it returns the name of each related Person node.  The results are limited to the top 3."
What is the average rating given by Keanu Reeves in his reviews?,movies,"<explanation>
1. We need to find the person named ""Keanu Reeves"".
2. Then, we need to traverse the `REVIEWED` relationships originating from that person node.
3. We then calculate the average rating from the `rating` property of the `REVIEWED` relationships.

```cypher
MATCH (p:Person {name: ""Keanu Reeves""})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```
</explanation>
```cypher
MATCH (p:Person {name: ""Keanu Reeves""})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Keanu Reeves""})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating","1. We need to find the person named ""Keanu Reeves"".
2. Then, we need to traverse the `REVIEWED` relationships originating from that person node.
3. We then calculate the average rating from the `rating` property of the `REVIEWED` relationships.

```cypher
MATCH (p:Person {name: ""Keanu Reeves""})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```"
List the names of the people who wrote movies released after 2000.,movies,"<explanation>
This query starts by finding all movies released after 2000. Then, it matches people who have a WROTE relationship with those movies. Finally, it returns the names of those people.

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.released > 2000**: This line filters the found Movie nodes, keeping only those where the ""released"" property is greater than 2000.
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered Movie nodes. 
4. **RETURN DISTINCT p.name**: This line returns the ""name"" property of the ""Person"" nodes found in the previous step. The DISTINCT keyword ensures that each name is only returned once.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2000
MATCH (p:Person)-[:WROTE]->(m)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)
WHERE m.released > 2000
MATCH (p:Person)-[:WROTE]->(m)
RETURN DISTINCT p.name","This query starts by finding all movies released after 2000. Then, it matches people who have a WROTE relationship with those movies. Finally, it returns the names of those people.

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.released > 2000**: This line filters the found Movie nodes, keeping only those where the ""released"" property is greater than 2000.
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered Movie nodes. 
4. **RETURN DISTINCT p.name**: This line returns the ""name"" property of the ""Person"" nodes found in the previous step. The DISTINCT keyword ensures that each name is only returned once."
Which movies were produced by Joel Silver and released before 2010?,movies,"<explanation>
This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationship to find all movies produced by him. Finally, it filters these movies to only include those released before 2010. 
</explanation>
```cypher
MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WHERE m.released < 2010
RETURN m.title AS movieTitle
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WHERE m.released < 2010
RETURN m.title AS movieTitle","This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationship to find all movies produced by him. Finally, it filters these movies to only include those released before 2010."
Find the top 3 movies with the lowest number of votes.,movies,"<explanation>
1. **Find all movies:** Start by matching all nodes with the label ""Movie"" using `MATCH (m:Movie)`.
2. **Order by vote count:** Order the movies in ascending order based on their `votes` property using `ORDER BY m.votes ASC`.
3. **Limit to top 3:** Limit the result set to the top 3 movies using `LIMIT 3`.
4. **Return movie titles:** Return the `title` property of the selected movies using `RETURN m.title`.
</explanation>
```cypher
MATCH (m:Movie)
ORDER BY m.votes ASC
LIMIT 3
RETURN m.title
```",Simple Aggregation Queries,"MATCH (m:Movie)
ORDER BY m.votes ASC
LIMIT 3
RETURN m.title","1. **Find all movies:** Start by matching all nodes with the label ""Movie"" using `MATCH (m:Movie)`.
2. **Order by vote count:** Order the movies in ascending order based on their `votes` property using `ORDER BY m.votes ASC`.
3. **Limit to top 3:** Limit the result set to the top 3 movies using `LIMIT 3`.
4. **Return movie titles:** Return the `title` property of the selected movies using `RETURN m.title`."
What are the taglines of movies directed by Nancy Meyers?,movies,"<explanation>
1. **MATCH** the person named ""Nancy Meyers""
2. **MATCH** movies directed by the person found in the previous step.
3. **RETURN** the taglines of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline","1. **MATCH** the person named ""Nancy Meyers""
2. **MATCH** movies directed by the person found in the previous step.
3. **RETURN** the taglines of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN m.tagline
```"
"Who directed ""The Matrix Revolutions""?",movies,"<explanation>
This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the `DIRECTED` relationship from that movie to the `Person` who directed it and returns the `name` of that person.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:DIRECTED]-(p:Person)
RETURN p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:DIRECTED]-(p:Person)
RETURN p.name","This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the `DIRECTED` relationship from that movie to the `Person` who directed it and returns the `name` of that person."
List the roles played by Laurence Fishburne in movies released in 2003.,movies,"<explanation>
1. **Find the person named ""Laurence Fishburne"":** We start by matching a `Person` node with the name ""Laurence Fishburne.""
2. **Match movies released in 2003:** Then, we traverse the `ACTED_IN` relationship to find `Movie` nodes where the `released` property is 2003.
3. **Return the roles:** Finally, we return the `roles` property from the `ACTED_IN` relationship.

This query effectively filters for movies released in 2003 and then returns the roles played by Laurence Fishburne in those specific films.
</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie {released: 2003})
RETURN m.title, m.released, p.name, collect(m.title) AS movie_titles
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie {released: 2003})
RETURN m.title, m.released, p.name, collect(m.title) AS movie_titles","1. **Find the person named ""Laurence Fishburne"":** We start by matching a `Person` node with the name ""Laurence Fishburne.""
2. **Match movies released in 2003:** Then, we traverse the `ACTED_IN` relationship to find `Movie` nodes where the `released` property is 2003.
3. **Return the roles:** Finally, we return the `roles` property from the `ACTED_IN` relationship.

This query effectively filters for movies released in 2003 and then returns the roles played by Laurence Fishburne in those specific films."
What are the summaries of the reviews given by Keanu Reeves with a rating above 90?,movies,"<explanation>
1. **Find Keanu Reeves:** Start by finding the `Person` node with `name` equal to ""Keanu Reeves.""
2. **Match Reviewed Relationships:** Traverse the `REVIEWED` relationships originating from Keanu Reeves to the `Movie` nodes he reviewed.
3. **Filter by Rating:** Filter these `REVIEWED` relationships to include only those with a `rating` greater than 90.
4. **Return Summaries:** Finally, return the `summary` property of the remaining `REVIEWED` relationships.

This query effectively identifies Keanu Reeves, follows his `REVIEWED` relationships, filters those relationships based on the rating, and returns the summaries of the reviews that meet the criteria.
</explanation>
```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 90
RETURN r.summary
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Keanu Reeves'})-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 90
RETURN r.summary","1. **Find Keanu Reeves:** Start by finding the `Person` node with `name` equal to ""Keanu Reeves.""
2. **Match Reviewed Relationships:** Traverse the `REVIEWED` relationships originating from Keanu Reeves to the `Movie` nodes he reviewed.
3. **Filter by Rating:** Filter these `REVIEWED` relationships to include only those with a `rating` greater than 90.
4. **Return Summaries:** Finally, return the `summary` property of the remaining `REVIEWED` relationships.

This query effectively identifies Keanu Reeves, follows his `REVIEWED` relationships, filters those relationships based on the rating, and returns the summaries of the reviews that meet the criteria."
Find the release years of the 3 movies with the fewest votes.,movies,"<explanation>
This query first matches all Movie nodes. Then it orders them by the number of votes in ascending order and limits the result to the top 3 movies. Finally, it returns the release year of these movies.

1. **MATCH (m:Movie)** - This line matches all nodes with the label 'Movie'.
2. **WITH m ORDER BY m.votes ASC LIMIT 3** - This line orders the matched movies by the 'votes' property in ascending order and limits the result to the top 3 movies with the fewest votes.
3. **RETURN m.released** - This line returns the release year of each of the 3 movies. 
<explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes ASC LIMIT 3
RETURN m.released
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes ASC LIMIT 3
RETURN m.released",
"Who are the people who produced ""Speed Racer""?",movies,"<explanation>
This query starts with finding the movie titled ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the persons who produced the movie. Finally, it returns the names of those persons.
</explanation>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name","This query starts with finding the movie titled ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the persons who produced the movie. Finally, it returns the names of those persons."
What is the average number of votes for movies released in 2003?,movies,"<explanation>
1. We start by matching all movies with a `released` property value of 2003.
2. We then use `WITH` clause with aggregation function `avg` to calculate the average vote count. 
3. Finally, we return the average vote count.

```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```
</explanation>
```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```",Simple Aggregation Queries,"MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes","1. We start by matching all movies with a `released` property value of 2003.
2. We then use `WITH` clause with aggregation function `avg` to calculate the average vote count. 
3. Finally, we return the average vote count.

```cypher
MATCH (m:Movie {released: 2003})
WITH avg(m.votes) AS average_votes
RETURN average_votes
```"
List the names of the people born before 1960 who directed a movie.,movies,"<explanation>
1. **MATCH** the nodes with label `Person` and `Movie` that have a relationship of type `DIRECTED`. 
2. **WHERE** clause filters these results to only include people who were born before 1960.
3. **RETURN** the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name","1. **MATCH** the nodes with label `Person` and `Movie` that have a relationship of type `DIRECTED`. 
2. **WHERE** clause filters these results to only include people who were born before 1960.
3. **RETURN** the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN p.name
```"
Which movies were written by people born after 1950?,movies,"<explanation>
1. **Find the writers:** Start by finding all people who have a `WROTE` relationship with a movie.
2. **Filter by birth year:** Filter these people to only include those born after 1950.
3. **Return the movies:** Return the titles of the movies that these writers wrote.
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1950
RETURN m.title
```",Simple Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1950
RETURN m.title","1. **Find the writers:** Start by finding all people who have a `WROTE` relationship with a movie.
2. **Filter by birth year:** Filter these people to only include those born after 1950.
3. **Return the movies:** Return the titles of the movies that these writers wrote."
What are the titles and taglines of the 3 movies with the highest number of votes?,movies,"<explanation>
This query starts with all Movie nodes and orders them in descending order of vote count. Then, it limits the results to the top 3 and returns their titles and taglines.

1. **MATCH (m:Movie)**: This line matches all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WITH m ORDER BY m.votes DESC LIMIT 3**: This line orders the matched movies by their `votes` property in descending order and limits the results to the top 3.
3. **RETURN m.title, m.tagline**: Finally, we return the `title` and `tagline` properties of the top 3 most voted movies.
</explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
RETURN m.title, m.tagline
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
RETURN m.title, m.tagline","This query starts with all Movie nodes and orders them in descending order of vote count. Then, it limits the results to the top 3 and returns their titles and taglines.

1. **MATCH (m:Movie)**: This line matches all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WITH m ORDER BY m.votes DESC LIMIT 3**: This line orders the matched movies by their `votes` property in descending order and limits the results to the top 3.
3. **RETURN m.title, m.tagline**: Finally, we return the `title` and `tagline` properties of the top 3 most voted movies."
Find the names of the people who acted in movies with more than 1000 votes.,movies,"<explanation>
This Cypher query first finds all movies with more than 1000 votes. Then, it matches people who ACTED_IN those movies and returns their names.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name","This Cypher query first finds all movies with more than 1000 votes. Then, it matches people who ACTED_IN those movies and returns their names."
What is the earliest release year of a movie directed by Nancy Meyers?,movies,"<explanation>
1. **Find the person named ""Nancy Meyers"".**  We'll start by matching the `Person` node with the name 'Nancy Meyers'.
2. **Traverse outgoing DIRECTED relationships.** We'll traverse the `DIRECTED` relationships from the 'Nancy Meyers' node to the `Movie` nodes.
3. **Find the earliest release year.** We'll use the `min()` function on the `released` property of the `Movie` nodes to get the earliest release year.
4. **Return the earliest year.**
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN min(m.released)
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)
RETURN min(m.released)","1. **Find the person named ""Nancy Meyers"".**  We'll start by matching the `Person` node with the name 'Nancy Meyers'.
2. **Traverse outgoing DIRECTED relationships.** We'll traverse the `DIRECTED` relationships from the 'Nancy Meyers' node to the `Movie` nodes.
3. **Find the earliest release year.** We'll use the `min()` function on the `released` property of the `Movie` nodes to get the earliest release year.
4. **Return the earliest year.**"
"List the roles played by Keanu Reeves in ""Something's Gotta Give"".",movies,"<explanation>
This query identifies the movie with the title ""Something's Gotta Give"", then matches to the person with the name ""Keanu Reeves"", and then returns the roles played by that person in that movie.

1. **MATCH (m:Movie {title: ""Something's Gotta Give""})** - This part finds the movie node with the title ""Something's Gotta Give"".
2. **MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m)** - This part finds the person node with the name ""Keanu Reeves"" who acted in the movie we found in the previous step. 
3. **RETURN ai.roles** - This returns the roles played by the person in the specified movie. 

</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m)
RETURN ai.roles
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})
MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m)
RETURN ai.roles","This query identifies the movie with the title ""Something's Gotta Give"", then matches to the person with the name ""Keanu Reeves"", and then returns the roles played by that person in that movie.

1. **MATCH (m:Movie {title: ""Something's Gotta Give""})** - This part finds the movie node with the title ""Something's Gotta Give"".
2. **MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m)** - This part finds the person node with the name ""Keanu Reeves"" who acted in the movie we found in the previous step. 
3. **RETURN ai.roles** - This returns the roles played by the person in the specified movie."
What are the summaries of reviews with a rating between 70 and 80?,movies,"<explanation>
This query starts with all `REVIEWED` relationships and filters by the `rating` property being between 70 (inclusive) and 80 (inclusive). It will then return the `summary` property for each of those relationships.
</explanation>
```cypher
MATCH ()-[:REVIEWED{rating: range(70, 80)}]->(m:Movie)
RETURN m.summary
```",Simple Aggregation Queries,"MATCH ()-[:REVIEWED{rating: range(70, 80)}]->(m:Movie)
RETURN m.summary",This query starts with all `REVIEWED` relationships and filters by the `rating` property being between 70 (inclusive) and 80 (inclusive). It will then return the `summary` property for each of those relationships.
Find the birth years of the 3 people who acted in the movies with the most votes.,movies,"<explanation>
1. **Find movies with the most votes:** Match all Movie nodes, order them by the number of votes in descending order, and take the top 3 using `LIMIT 3`.
2. **Find actors who acted in those movies:** Traverse the `ACTED_IN` relationship from those movies to the Person nodes representing the actors.
3. **Return the birth year of each actor:** Extract the `born` property from each Person node.

```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```
</explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```",Simple Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born","1. **Find movies with the most votes:** Match all Movie nodes, order them by the number of votes in descending order, and take the top 3 using `LIMIT 3`.
2. **Find actors who acted in those movies:** Traverse the `ACTED_IN` relationship from those movies to the Person nodes representing the actors.
3. **Return the birth year of each actor:** Extract the `born` property from each Person node.

```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes DESC LIMIT 3
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.born
```"
"Who produced movies released in the same year as ""The Matrix Revolutions""?",movies,"<explanation>
1. We need to find the release year of the movie ""The Matrix Revolutions"".
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who produced those movies.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name","1. We need to find the release year of the movie ""The Matrix Revolutions"".
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who produced those movies.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS released_year
MATCH (m2:Movie) WHERE m2.released = released_year
MATCH (p:Person)-[:PRODUCED]->(m2)
RETURN DISTINCT p.name
```"
What is the average rating of reviews for movies released after 2000?,movies,"<explanation>
1. **Match movies released after 2000**: We start by matching all movies (`Movie` nodes) where the `released` property is greater than 2000.
2. **Match reviews**: Then, we match all `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate average rating**: Finally, we use the `avg()` function to calculate the average rating of all the matched reviews. 

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)","1. **Match movies released after 2000**: We start by matching all movies (`Movie` nodes) where the `released` property is greater than 2000.
2. **Match reviews**: Then, we match all `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate average rating**: Finally, we use the `avg()` function to calculate the average rating of all the matched reviews. 

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released > 2000
RETURN avg(r.rating)
```"
List the names of the people born after 1960 who wrote a movie.,movies,"<explanation>
This query looks for all people born after 1960 who have a `WROTE` relationship with a `Movie` node. It then returns the names of those people.

1. **MATCH Clause**: We start by matching all `Person` nodes that have an outgoing `WROTE` relationship to a `Movie` node. 
2. **WHERE Clause**: Filter for `Person` nodes where the `born` property is greater than 1960.
3. **RETURN Clause**: We return the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```",Simple Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name","This query looks for all people born after 1960 who have a `WROTE` relationship with a `Movie` node. It then returns the names of those people.

1. **MATCH Clause**: We start by matching all `Person` nodes that have an outgoing `WROTE` relationship to a `Movie` node. 
2. **WHERE Clause**: Filter for `Person` nodes where the `born` property is greater than 1960.
3. **RETURN Clause**: We return the `name` property of the `Person` node.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born > 1960
RETURN p.name
```"
Which movies were directed by people born before 1955?,movies,"<explanation>
This query starts by finding all people born before 1955. Then, it traverses the `DIRECTED` relationships from those people to the movies they directed. Finally, it returns the titles of those movies. 
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title","This query starts by finding all people born before 1955. Then, it traverses the `DIRECTED` relationships from those people to the movies they directed. Finally, it returns the titles of those movies."
What are the titles and release years of the 3 movies with the lowest ratings?,movies,"<explanation>
This query finds the bottom 3 movies with the lowest ratings.
1. **MATCH**: It starts by matching all `REVIEWED` relationships between `Person` and `Movie` nodes.
2. **WITH**: This clause allows us to order the results by the `rating` property in ascending order and use `LIMIT` to select only the top three movies with the lowest ratings.
3. **RETURN**: Finally, we return the `title` and `released` properties of the 3 selected movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WITH m, r.rating ORDER BY r.rating ASC LIMIT 3
RETURN m.title, m.released
```
</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WITH m, r.rating ORDER BY r.rating ASC LIMIT 3
RETURN m.title, m.released
```",Simple Aggregation Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WITH m, r.rating ORDER BY r.rating ASC LIMIT 3
RETURN m.title, m.released","This query finds the bottom 3 movies with the lowest ratings.
1. **MATCH**: It starts by matching all `REVIEWED` relationships between `Person` and `Movie` nodes.
2. **WITH**: This clause allows us to order the results by the `rating` property in ascending order and use `LIMIT` to select only the top three movies with the lowest ratings.
3. **RETURN**: Finally, we return the `title` and `released` properties of the 3 selected movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WITH m, r.rating ORDER BY r.rating ASC LIMIT 3
RETURN m.title, m.released
```"
